"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"James Harden","HOU","PG,SG","32.5","6.3","7.3","0.8","1.7",".445",".876","4.2","68","36.2","4.5"
"Luka Doncic","DAL","PG","30.1","9.3","8.8","0.3","1.2",".473",".765","3.0","68","35.1","4.0"
"Giannis Antetokounmpo","MIL","SF,PF","29.3","13.3","5.7","1.2","1.1",".558",".689","1.3","69","32.1","3.6"
"Damian Lillard","POR","PG","28.4","4.3","7.3","0.3","1.1",".454",".900","3.8","68","36.4","2.8"
"Stephen Curry","GSW","PG,SG","27.7","4.6","6.1","0.3","1.4",".466",".918","4.6","66","34.1","3.2"
"Devin Booker","PHO","PG,SG","27.1","4.2","6.3","0.2","0.7",".478",".901","2.3","69","35.6","3.6"
"Trae Young","ATL","PG","26.9","3.9","9.2","0.1","1.0",".446",".861","3.2","68","34.0","4.2"
"Bradley Beal","WAS","SG","26.5","4.1","4.9","0.4","1.2",".463",".829","2.6","66","35.5","3.0"
"Anthony Davis","LAL","PF,C","26.5","9.9","3.2","2.3","1.5",".516",".846","1.2","65","34.2","2.3"
"Zion Williamson","NOR","PF","26.3","7.9","2.4","0.7","0.9",".589",".685","0.4","62","31.9","2.7"
"Kawhi Leonard","LAC","SG,SF","26.3","7.1","4.5","0.5","1.7",".475",".865","2.2","61","33.5","2.4"
"LeBron James","LAL","PG,SG,SF,PF","25.6","8.0","9.6","0.5","1.2",".509",".691","2.2","64","34.3","3.6"
"Karl-Anthony Towns","MIN","C","25.5","11.3","3.7","1.5","0.9",".512",".813","2.9","68","33.8","3.2"
"Kevin Durant","BKN","SF,PF","25.3","6.4","4.9","1.0","0.7",".514",".876","2.0","64","33.0","3.0"
"Russell Westbrook","WAS","PG","25.3","8.5","8.7","0.4","1.6",".467",".747","0.9","64","35.2","4.3"
"Jayson Tatum","BOS","SF,PF","25.0","6.9","3.6","0.9","1.4",".453",".818","2.9","68","35.3","2.4"
"Donovan Mitchell","UTH","PG,SG","24.8","4.6","4.2","0.2","1.1",".452",".846","2.6","69","34.2","2.7"
"Zach LaVine","CHI","SG,SF","24.4","4.5","4.3","0.4","1.3",".451",".805","2.8","66","34.6","3.2"
"Joel Embiid","PHI","PF,C","24.4","11.9","3.3","1.6","0.8",".480",".804","1.2","63","31.3","3.3"
"Kyrie Irving","BKN","PG,SG","24.4","4.5","6.5","0.4","1.3",".492",".901","2.6","63","32.9","2.5"
"Paul George","LAC","SF,PF","23.4","6.2","3.8","0.4","1.6",".435",".864","3.6","66","33.6","2.7"
"Brandon Ingram","NOR","SF,PF","23.4","5.7","3.8","0.6","0.9",".472",".813","2.3","67","33.8","2.9"
"Pascal Siakam","TOR","PF","22.9","7.8","3.4","0.9","1.1",".466",".771","2.1","68","36.0","2.4"
"Shai Gilgeous-Alexander","OKC","SG,SF,PG","22.6","5.6","5.4","0.7","1.2",".466",".815","1.7","68","35.1","2.5"
"D'Angelo Russell","MIN","PG,SG","21.9","3.8","6.5","0.3","1.2",".434",".814","3.3","65","32.3","3.2"
"De'Aaron Fox","SAC","PG","21.7","4.0","7.3","0.5","1.6",".486",".726","1.1","67","33.3","3.1"
"CJ McCollum","POR","PG,SG","21.4","4.1","3.8","0.5","0.8",".455",".779","2.7","68","35.6","1.8"
"DeMar DeRozan","SAS","SG,SF","21.4","5.4","5.5","0.3","1.1",".508",".837","0.1","68","34.2","2.4"
"Kristaps Porzingis","DAL","PF,C ","21.4","9.6","1.7","2.0","0.7",".435",".801","2.5","56","32.2","1.7"
"Nikola Jokic","DEN","PF,C","21.2","10.2","7.2","0.7","1.3",".521",".819","1.3","69","33.1","3.2"
"Jamal Murray","DEN","PG,SG","21.1","4.2","5.0","0.3","1.1",".459",".879","2.3","68","33.9","2.4"
"Khris Middleton","MIL","SG,SF","21.0","5.8","4.2","0.1","1.0",".476",".893","2.5","67","32.1","2.2"
"Ja Morant","MEM","PG","20.8","4.2","8.0","0.3","1.0",".477",".788","1.2","68","33.6","3.6"
"Jaylen Brown","BOS","SG,SF","20.5","6.2","2.0","0.4","1.1",".482",".727","2.2","67","34.2","2.2"
"Collin Sexton","CLE","PG,SG","20.3","3.2","3.2","0.1","0.9",".467",".845","1.6","69","33.9","2.5"
"Tobias Harris","PHI","SF,PF","20.1","6.8","3.0","0.5","0.7",".478",".817","2.0","69","34.5","1.7"
"Jimmy Butler","MIA","SG,SF","20.0","6.1","5.5","0.5","1.7",".467",".838","0.9","66","34.3","2.1"
"Gordon Hayward","CHA","SG,SF ","20.0","5.7","4.4","0.3","0.8",".476",".851","1.8","62","34.0","2.2"
"Nikola Vucevic","ORL","PF,C","19.8","10.7","3.6","0.9","0.9",".492",".788","1.5","66","31.6","1.7"
"TJ Warren","IND","SF,PF ","19.5","4.3","1.6","0.6","1.2",".499",".806","1.5","64","33.4","1.2"
"Blake Griffin","DET","PF,C","19.5","6.9","4.3","0.4","0.6",".447",".767","1.9","57","32.5","2.7"
"Kemba Walker","BOS","PG ","19.2","4.1","4.4","0.4","0.9",".431",".858","2.8","53","30.8","2.1"
"Bojan Bogdanovic","UTH","SF,PF","18.9","4.0","2.0","0.1","0.6",".461",".881","2.7","66","32.4","2.1"
"Deandre Ayton","PHO","C","18.9","10.8","1.8","1.3","0.7",".571",".745","0.1","66","32.4","2.0"
"LaMarcus Aldridge","SAS","PF,C","18.8","7.5","2.2","1.4","0.6",".501",".824","0.9","64","32.1","1.5"
"John Collins","ATL","PF,C","18.6","8.8","1.6","1.1","0.6",".575",".785","1.2","65","30.7","1.8"
"Julius Randle","NYK","PF,C","18.6","9.0","2.9","0.3","0.8",".480",".736","0.9","67","31.3","2.8"
"Jrue Holiday","MIL","PG,SG","18.3","4.7","6.1","0.7","1.5",".469",".728","1.9","66","33.7","2.8"
"Buddy Hield","SAC","SG","18.2","4.2","2.7","0.2","0.8",".444",".841","3.4","70","30.0","2.0"
"Andrew Wiggins","GSW","SG,SF","18.1","4.4","3.2","0.8","0.8",".445",".724","1.7","68","33.6","2.1"
"Kelly Oubre Jr.","GSW","SF,PF","18.0","5.7","1.5","0.8","1.2",".449",".773","2.0","66","32.5","1.4"
"John Wall","HOU","PG","17.8","3.6","7.6","0.7","1.3",".433",".725","1.7","61","31.8","3.6"
"Domantas Sabonis","IND","PF,C","17.8","11.9","4.5","0.5","0.7",".544",".725","0.4","66","33.6","2.6"
