"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"James Harden","HOU","PG,SG","2,211","431","497","52","118",".445",".876","288","68","2,462","308"
"Luka Doncic","DAL","PG","2,045","635","601","21","79",".473",".765","205","68","2,386","272"
"Giannis Antetokounmpo","MIL","SF,PF","2,018","920","395","84","73",".558",".689","91","69","2,218","251"
"Damian Lillard","POR","PG","1,929","294","497","20","72",".454",".900","260","68","2,473","190"
"Devin Booker","PHO","PG,SG","1,869","287","437","17","52",".478",".901","162","69","2,456","248"
"Trae Young","ATL","PG","1,831","264","627","9","69",".446",".861","218","68","2,315","282"
"Stephen Curry","GSW","PG,SG","1,826","301","403","22","90",".466",".918","306","66","2,249","209"
"Bradley Beal","WAS","SG","1,752","272","326","28","82",".463",".829","174","66","2,345","197"
"Karl-Anthony Towns","MIN","C","1,737","771","253","99","64",".512",".813","200","68","2,300","219"
"Anthony Davis","LAL","PF,C","1,720","645","209","147","96",".516",".846","76","65","2,225","147"
"Donovan Mitchell","UTH","PG,SG","1,713","314","291","17","76",".452",".846","180","69","2,363","189"
"Jayson Tatum","BOS","SF,PF","1,702","472","242","60","93",".453",".818","199","68","2,397","163"
"LeBron James","LAL","PG,SG,SF,PF","1,636","514","615","35","77",".509",".691","138","64","2,196","233"
"Zion Williamson","NOR","PF","1,633","493","148","44","57",".589",".685","24","62","1,979","170"
"Kevin Durant","BKN","SF,PF","1,622","410","315","61","47",".514",".876","127","64","2,115","190"
"Russell Westbrook","WAS","PG","1,621","541","554","23","101",".467",".747","59","64","2,254","273"
"Zach LaVine","CHI","SG,SF","1,609","297","283","30","89",".451",".805","187","66","2,282","210"
"Kawhi Leonard","LAC","SG,SF","1,603","431","274","33","104",".475",".865","133","61","2,042","149"
"Brandon Ingram","NOR","SF,PF","1,568","382","258","43","61",".472",".813","154","67","2,262","195"
"Pascal Siakam","TOR","PF","1,560","529","233","64","73",".466",".771","140","68","2,449","164"
"Paul George","LAC","SF,PF","1,547","408","253","29","109",".435",".864","235","66","2,219","175"
"Joel Embiid","PHI","PF,C","1,536","750","205","103","51",".480",".804","75","63","1,974","207"
"Shai Gilgeous-Alexander","OKC","SG,SF,PG","1,535","382","368","48","84",".466",".815","115","68","2,387","167"
"Kyrie Irving","BKN","PG,SG","1,534","282","411","25","83",".492",".901","164","63","2,074","158"
